"order_id","customer_id","order_date","order_amount","delivery_city","payment_mode"
120,20,"2023-01-09",4000,"Vadodara","Credit Card"
129,29,"2022-12-23",3500,"Nashik","Credit Card"
106,6,"2023-04-12",3500,"Pune","Credit Card"
122,22,"2023-04-24",3400,"Varanasi","Credit Card"
131,31,"2022-11-19",3300,"Rajkot","UPI"
139,39,"2022-09-01",3200,"Dehradun","UPI"
121,21,"2022-11-02",3100,"Noida","Debit Card"
135,35,"2023-02-05",3000,"Ludhiana","UPI"
111,11,"2022-09-21",3000,"Bhopal","Credit Card"
123,23,"2021-10-13",2900,"Mysuru","UPI"
117,17,"2023-02-01",2900,"Kanpur","Cash"
128,28,"2023-07-14",2800,"Aurangabad","Net Banking"
134,34,"2022-06-29",2700,"Bhubaneshwar","Debit Card"
107,7,"2022-10-15",2700,"Hyderabad","Debit Card"
113,13,"2023-03-12",2600,"Thane","Debit Card"
136,36,"2022-07-07",2600,"Madurai","Net Banking"
140,40,"2023-06-25",2500,"Amritsar","Net Banking"
102,2,"2023-02-14",2500,"Delhi","Debit Card"
112,12,"2023-02-28",2400,"Patna","Net Banking"
124,24,"2022-09-29",2400,"Jodhpur","Net Banking"
133,33,"2023-04-15",2300,"Gwalior","Credit Card"
115,15,"2023-04-18",2300,"Nagpur","Credit Card"
125,25,"2023-06-20",2200,"Ranchi","Credit Card"
108,8,"2023-06-22",2200,"Chennai","UPI"
130,30,"2023-05-22",2100,"Faridabad","Debit Card"
118,18,"2022-12-17",2100,"Coimbatore","Debit Card"
105,1,"2022-11-20",2000,"Mumbai","Net Banking"
137,37,"2023-03-31",1900,"Agra","Credit Card"
110,10,"2023-05-19",1900,"Lucknow","Cash"
127,27,"2022-03-18",1800,"Ghaziabad","Cash"
114,14,"2022-07-05",1800,"Gurgaon","UPI"
104,4,"2023-03-30",1800,"Kolkata","UPI"
126,26,"2021-05-09",1700,"Raipur","UPI"
138,38,"2021-08-17",1600,"Vellore","Debit Card"
116,16,"2021-06-23",1600,"Surat","Net Banking"
101,1,"2023-01-10",1500,"Mumbai","Credit Card"
132,32,"2021-12-06",1500,"Kochi","Net Banking"
109,9,"2022-08-08",1400,"Ahmedabad","Credit Card"
103,3,"2022-12-21",1200,"Bengaluru","Cash"
119,19,"2022-08-25",1200,"Indore","UPI"
